Data,Comensais_almoço,Comensais_janta
3/16/2022,315,100
3/17/2022,220,110
3/18/2022,350,120
3/21/2022,400,200
3/22/2022,330,260
3/23/2022,440,290
3/24/2022,350,240
3/28/2022,350,250
3/29/2022,400,290
3/30/2022,350,260
3/31/2022,350,260
4/1/2022,300,190
4/4/2022,300,280
4/5/2022,400,260
4/6/2022,370,270
4/7/2022,290,240
4/8/2022,245,140
4/11/2022,310,270
4/12/2022,405,270
4/13/2022,300,190
4/18/2022,340,270
4/19/2022,400,270
4/20/2022,300,215
4/25/2022,330,270
4/26/2022,400,270
4/27/2022,380,270
4/28/2022,360,240
4/29/2022,280,160
5/2/2022,340,270
5/3/2022,405,295
5/4/2022,375,280
5/5/2022,385,260
5/6/2022,320,150
5/9/2022,360,270
5/10/2022,410,230
5/11/2022,280,170
5/12/2022,210,145
5/13/2022,210,90
5/16/2022,350,270
5/17/2022,410,280
5/18/2022,380,280
5/19/2022,385,260
5/20/2022,310,150
5/23/2022,350,270
5/24/2022,410,295
5/25/2022,412,300
5/26/2022,410,280
5/27/2022,320,150
5/30/2022,360,275
5/31/2022,400,290
6/1/2022,410,290
6/2/2022,400,280
6/3/2022,325,150
6/6/2022,360,280
6/7/2022,420,275
6/8/2022,410,260
6/9/2022,405,270
6/10/2022,340,160
6/13/2022,360,280
6/14/2022,420,275
6/15/2022,410,220
6/20/2022,360,280
6/21/2022,420,275
6/22/2022,410,270
6/23/2022,390,270
6/24/2022,330,150
6/27/2022,340,260
6/28/2022,390,275
6/29/2022,390,245
6/30/2022,360,230
7/1/2022,290,155
7/4/2022,330,250
7/5/2022,350,230
7/7/2022,285,190
7/8/2022,230,145
7/11/2022,320,230
7/12/2022,330,210
7/13/2022,320,200
7/14/2022,290,190
7/15/2022,250,125
7/18/2022,190,120
7/19/2022,125,80
7/20/2022,140,80
7/21/2022,95,65
7/22/2022,65,50
8/16/2022,350,250
8/17/2022,330,260
8/18/2022,340,255
8/19/2022,310,175
8/22/2022,330,250
8/23/2022,360,280
8/24/2022,385,300
8/25/2022,360,300
8/26/2022,310,180
8/29/2022,295,275
8/30/2022,390,325
8/31/2022,380,322
9/1/2022,355,285
9/2/2022,295,175
9/5/2022,295,285
9/6/2022,385,325
9/8/2022,300,285
9/9/2022,295,160
9/12/2022,299,280
9/13/2022,375,325
9/14/2022,385,310
9/15/2022,375,295
9/16/2022,295,160
9/19/2022,299,280
9/20/2022,390,325
9/21/2022,385,315
9/22/2022,375,295
9/23/2022,295,165
9/26/2022,295,265
9/27/2022,390,325
9/28/2022,385,315
9/29/2022,370,295
