Data,Comensais_almoço,Comensais_janta
2022-03-16,315.0,100.0
2022-03-17,220.0,110.0
2022-03-18,350.0,120.0
2022-03-19,,
2022-03-20,,
2022-03-21,400.0,200.0
2022-03-22,330.0,260.0
2022-03-23,440.0,290.0
2022-03-24,350.0,240.0
2022-03-25,,
2022-03-26,,
2022-03-27,,
2022-03-28,350.0,250.0
2022-03-29,400.0,290.0
2022-03-30,350.0,260.0
2022-03-31,350.0,260.0
2022-04-01,300.0,190.0
2022-04-02,,
2022-04-03,,
2022-04-04,300.0,280.0
2022-04-05,400.0,260.0
2022-04-06,370.0,270.0
2022-04-07,290.0,240.0
2022-04-08,245.0,140.0
2022-04-09,,
2022-04-10,,
2022-04-11,310.0,270.0
2022-04-12,405.0,270.0
2022-04-13,300.0,190.0
2022-04-14,,
2022-04-15,,
2022-04-16,,
2022-04-17,,
2022-04-18,340.0,270.0
2022-04-19,400.0,270.0
2022-04-20,300.0,215.0
2022-04-21,,
2022-04-22,,
2022-04-23,,
2022-04-24,,
2022-04-25,330.0,270.0
2022-04-26,400.0,270.0
2022-04-27,380.0,270.0
2022-04-28,360.0,240.0
2022-04-29,280.0,160.0
2022-04-30,,
2022-05-01,,
2022-05-02,340.0,270.0
2022-05-03,405.0,295.0
2022-05-04,375.0,280.0
2022-05-05,385.0,260.0
2022-05-06,320.0,150.0
2022-05-07,,
2022-05-08,,
2022-05-09,360.0,270.0
2022-05-10,410.0,230.0
2022-05-11,280.0,170.0
2022-05-12,210.0,145.0
2022-05-13,210.0,90.0
2022-05-14,,
2022-05-15,,
2022-05-16,350.0,270.0
2022-05-17,410.0,280.0
2022-05-18,380.0,280.0
2022-05-19,385.0,260.0
2022-05-20,310.0,150.0
2022-05-21,,
2022-05-22,,
2022-05-23,350.0,270.0
2022-05-24,410.0,295.0
2022-05-25,412.0,300.0
2022-05-26,410.0,280.0
2022-05-27,320.0,150.0
2022-05-28,,
2022-05-29,,
2022-05-30,360.0,275.0
2022-05-31,400.0,290.0
2022-06-01,410.0,290.0
2022-06-02,400.0,280.0
2022-06-03,325.0,150.0
2022-06-04,,
2022-06-05,,
2022-06-06,360.0,280.0
2022-06-07,420.0,275.0
2022-06-08,410.0,260.0
2022-06-09,405.0,270.0
2022-06-10,340.0,160.0
2022-06-11,,
2022-06-12,,
2022-06-13,360.0,280.0
2022-06-14,420.0,275.0
2022-06-15,410.0,220.0
2022-06-16,,
2022-06-17,,
2022-06-18,,
2022-06-19,,
2022-06-20,360.0,280.0
2022-06-21,420.0,275.0
2022-06-22,410.0,270.0
2022-06-23,390.0,270.0
2022-06-24,330.0,150.0
2022-06-25,,
2022-06-26,,
2022-06-27,340.0,260.0
2022-06-28,390.0,275.0
2022-06-29,390.0,245.0
2022-06-30,360.0,230.0
2022-07-01,290.0,155.0
2022-07-02,,
2022-07-03,,
2022-07-04,330.0,250.0
2022-07-05,350.0,230.0
2022-07-06,,
2022-07-07,285.0,190.0
2022-07-08,230.0,145.0
2022-07-09,,
2022-07-10,,
2022-07-11,320.0,230.0
